MCQ_No,Question,Bin,Level,Option_A,Option_B,Option_C,Option_D,Marks,Correct_Answer,Explanation
1,An attribute that names or identifies entity instances is a(n):,infoway,1,entity.,attribute.,identifier.,relationship.,1,C,""""""
2,Property that describe the characteristics of entity are called:,infoway,1,entity.,attribute.,identifier.,relationship.,1,B,""""""
3,Which type of join is needed when you wish to include rows that do not have matching values?,infoway,3,Equi-join,Natural join,Outer join,All of the above,1,C,""""""
4,What type of join is needed when youwish to return rows that do have matching values?,infoway,3,Equi-join,Natural join,Simple join,All of the above,1,D,""""""
5,Which of the following is true concerning a procedure?,infoway,3,You do not create them with SQL.,They do not need to have a unique name.,They include procedural and SQL statements.,They are the same thing as a function.,1,C,""""""
6,A CASE SQL function is which of the following?,infoway,3,A way to establish an IF-THEN-ELSE in SQL.,A way to establish a loop in SQL.,A way to establish a data definition in SQL.,All of the above.,1,A,""""""
7,A UNION query is which of the following?,infoway,3,Combines the output from no more than two queries and must include the same number of columns.,Combines the output from no more than two queries and does not include the same number of columns.,Combines the output from multiple queries and must include the same number of columns.,Combines the output from multiple queries and does not include the same number of columns.,1,C,""""""
8,Which of the following statements is true concerning sub-queries?,infoway,3,Involves the use of an inner and outer query.,Cannot return the same result as a query that is not a subquery.,Does not start with the word SELECT.,All of the above.,1,A,""""""
9,How many tables may be included with a join?,infoway,1,One,Two,Three,All of the above.,1,D,""""""
10,Which of the following is true concerning triggers?,infoway,2,You do not create them with SQL.,They execute against only some applications that access a database.,"They have an event, condition, and action.",They cannot cascade (cause another trigger to fire).,1,C,""""""
11,Which operator is used to compare a value to a specified list of values?,infoway,1,BETWEEN,ANY,IN,ALL,1,C,""""""
12,"What will be the output of the following statement?
select ""Hello"" # ""World "" from dual;",infoway,4,Hello,Hello World,Hello # World,Error,1,A,""""""
13,"What will be the output of the following statement?
select 10 + 10 as Result from DUAL where false;",infoway,4,0,20,NULL,ERROR,1,C,""""""
14,"What will be the output of the following statement?
select 10 + 10 as Result from DUAL where true;",infoway,4,0,20,NULL,ERROR,1,B,""""""
15,"What will be the output of the following statement?
select 10 + 10 as Result from DUAL where 10-10;",infoway,4,0,20,NULL,ERROR,1,C,""""""
16,"What will be the output of the following statement?
select 10 + 10 as Result from DUAL where 10-0;",infoway,4,0,20,NULL,ERROR,1,B,""""""
17,"What will be the output of the following statement?
select 10 + 10 as Result from DUAL where 10-30;",infoway,4,0,20,NULL,ERROR,1,B,""""""
18,"What will be the output of the following statement?
select  '5'*'5' as Result from DUAL;",infoway,4,0,55,25,Error,1,C,""""""
19,The COUNT function in SQL returns the number of ______________,infoway,2,Values,Distinct values,Group By,Columns,1,A,""""""
20,Which data manipulation command is used to combines the records from one or more tables?,infoway,1,SELECT,PROJECT,JOIN,PRODUCT,1,C,""""""
21,Which of the following is not true about the MAX and MIN functions?,infoway,1,Both can be used for any data type.,MAX returns the maximum value.,MIN returns the minimum value.,All are true.,1,D,""""""
22,By default MySQL communicates on-,infoway,1,port 16           ,port TCO/IP,port 4.01        ,port 3306,1,D,""""""
23,Which format display mysql data values?,infoway,1,yyyy-dd-mm                 ,dd-mm-yyyy,mm-dd-yyyy                 ,yyyy-mm-dd,1,D,""""""
24,What type of join is used when you have to combine each row from the first table with each row of the second table ?,,2,Natural Join,Cross Join,Inner Join,Outer Join,1,B,""""""
25,Which keyword is used with CREATE view statement to create View even if the table does not exist?,,3,Force,Impel,Push,All of the above,1,A,""""""
